pubkey2,pubyear,pubtype,COUNT(*)
igarss,2019,inproceedings,2274
igarss,2018,inproceedings,2208
igarss,2021,inproceedings,2152
igarss,2022,inproceedings,1936
igarss,2016,inproceedings,1905
igarss,2012,inproceedings,1902
igarss,2020,inproceedings,1641
igarss,2017,inproceedings,1569
igarss,2003,inproceedings,1518
chi,2023,inproceedings,1498
chi,2020,inproceedings,1367
igarss,2007,inproceedings,1354
igarss,2015,inproceedings,1353
igarss,2008,inproceedings,1337
chi,2019,inproceedings,1324
igarss,2004,inproceedings,1301
chi,2021,inproceedings,1296
igarss,2014,inproceedings,1293
igarss,2005,inproceedings,1285
ahfe,2021,inproceedings,1255
igarss,2010,inproceedings,1246
chi,2018,inproceedings,1224
igarss,2002,inproceedings,1203
ahfe,2020,inproceedings,1143
chi,2022,inproceedings,1142
chi,2016,inproceedings,1138
igarss,2013,inproceedings,1129
ahfe,2019,inproceedings,1127
interspeech,2022,inproceedings,1123
igarss,2011,inproceedings,1090
chi,2017,inproceedings,1069
interspeech,2020,inproceedings,1035
chi,2013,inproceedings,1028
interspeech,2021,inproceedings,999
igarss,2009,inproceedings,990
chi,2014,inproceedings,974
siggraph,2006,inproceedings,974
interspeech,2019,inproceedings,970
chi,2015,inproceedings,936
hicss,2022,inproceedings,936
hicss,2019,inproceedings,931
interspeech,2000,inproceedings,922
hicss,2021,inproceedings,876
interspeech,2005,inproceedings,869
interspeech,2011,inproceedings,851
interspeech,1998,inproceedings,851
eucc,1999,inproceedings,850
interspeech,2017,inproceedings,844
hicss,2023,inproceedings,837
eucc,2009,inproceedings,835
siggraph,2007,inproceedings,832
chi,2012,inproceedings,821
interspeech,2016,inproceedings,818
chi,2011,inproceedings,811
hicss,2020,inproceedings,811
interspeech,2015,inproceedings,810
interspeech,2013,inproceedings,806
interspeech,2003,inproceedings,798
interspeech,2004,inproceedings,797
interspeech,2018,inproceedings,791
interspeech,2010,inproceedings,790
interspeech,2008,inproceedings,770
interspeech,2009,inproceedings,765
eucc,2013,inproceedings,761
ahfe,2017,inproceedings,761
hicss,2017,inproceedings,760
interspeech,2007,inproceedings,751
siggraph,2005,inproceedings,750
naacl,2022,inproceedings,731
hicss,2016,inproceedings,727
interspeech,1999,inproceedings,724
interspeech,1997,inproceedings,723
hicss,2018,inproceedings,719
eucc,2019,inproceedings,702
interspeech,2012,inproceedings,699
hicss,2005,inproceedings,690
siggraph,2009,inproceedings,686
eucc,2001,inproceedings,680
interspeech,2002,inproceedings,678
interspeech,2006,inproceedings,671
interspeech,2001,inproceedings,670
igarss,2006,inproceedings,670
siggraph,2016,inproceedings,667
interspeech,2014,inproceedings,666
chi,2009,inproceedings,662
hicss,2015,inproceedings,661
chi,2010,inproceedings,658
siggraph,2015,inproceedings,644
interspeech,1996,inproceedings,637
hicss,2014,inproceedings,636
siggraph,2013,inproceedings,636
hicss,2013,inproceedings,635
siggraph,2004,inproceedings,618
hicss,2007,inproceedings,608
eucc,2003,inproceedings,607
hicss,2004,inproceedings,594
eucc,2015,inproceedings,590
hicss,2012,inproceedings,584
siggraph,1998,inproceedings,584
siggraph,2014,inproceedings,578
hicss,2003,inproceedings,568
chi,2008,inproceedings,563
fgit,2011,inproceedings,562
interspeech,1994,inproceedings,560
naacl,2021,inproceedings,552
siggraph,2008,inproceedings,541
hicss,2006,inproceedings,529
hicss,2001,inproceedings,528
interspeech,1995,inproceedings,527
interspeech,1993,inproceedings,527
eucc,2018,inproceedings,527
hicss,2009,inproceedings,513
hicss,2002,inproceedings,508
siggraph,1999,inproceedings,505
naacl,2019,inproceedings,501
chi,2006,inproceedings,494
hicss,2010,inproceedings,492
hicss,2011,inproceedings,492
hicss,1999,inproceedings,468
hicss,1998,inproceedings,451
icis,2019,inproceedings,439
eucc,2016,inproceedings,436
siggraph,2002,inproceedings,430
hicss,2000,inproceedings,428
siggraph,2012,inproceedings,421
hicss,2008,inproceedings,418
interspeech,1992,inproceedings,414
icis,2017,inproceedings,409
siggraph,1997,inproceedings,409
chi,2007,inproceedings,408
naacl,2018,inproceedings,403
chi,2005,inproceedings,402
siggraph,2011,inproceedings,401
siggraph,2010,inproceedings,401
eucc,2014,inproceedings,398
hicss,1997,inproceedings,390
eucc,2021,inproceedings,386
chi,2004,inproceedings,385
hpcc,2019,inproceedings,382
icis,2016,inproceedings,380
icis,2021,inproceedings,375
hicss,1994,inproceedings,375
icis,2018,inproceedings,373
interspeech,1989,inproceedings,360
chi,1994,inproceedings,359
eucc,2020,inproceedings,358
siggraph,2017,inproceedings,354
hpcc,2021,inproceedings,353
interspeech,1990,inproceedings,350
icis,2015,inproceedings,342
fgit,2010,inproceedings,341
interspeech,1991,inproceedings,336
hpcc,2013,inproceedings,335
icis,2013,inproceedings,334
hpcc,2022,inproceedings,331
icis,2022,inproceedings,329
icis,2020,inproceedings,325
siggraph,1996,inproceedings,323
icis,2014,inproceedings,322
eucc,2022,inproceedings,321
chi,2001,inproceedings,320
chi,1995,inproceedings,313
hpcc,2015,inproceedings,311
hicss,1995,inproceedings,309
icis,2012,inproceedings,308
eucc,2023,inproceedings,305
icis,2011,inproceedings,303
chi,2003,inproceedings,301
chi,1996,inproceedings,300
naacl,2015,inproceedings,298
chi,1998,inproceedings,292
fgit,2009,inproceedings,292
siggraph,2023,inproceedings,289
chi,2002,inproceedings,282
chi,1997,inproceedings,281
icmc,2014,inproceedings,280
siggraph,2003,inproceedings,280
chi,2000,inproceedings,277
chi,1999,inproceedings,273
naacl,2016,inproceedings,268
icis,2010,inproceedings,268
hpcc,2012,inproceedings,264
hicss,1996,inproceedings,255
interspeech,1987,inproceedings,252
hpcc,2018,inproceedings,248
fgit,2012,inproceedings,244
bmsb,2023,inproceedings,243
naacl,2010,inproceedings,230
siggraph,2018,inproceedings,228
intcompsymp,2014,inproceedings,228
siggraph,2021,inproceedings,226
chi,1993,inproceedings,217
icis,2008,inproceedings,216
siggraph,2020,inproceedings,216
siggraph,2019,inproceedings,215
hpcc,2016,inproceedings,212
icmc,2005,inproceedings,209
icmc,2007,inproceedings,205
icis,2009,inproceedings,205
hpcc,2014,inproceedings,200
chi,1992,inproceedings,200
naacl,2009,inproceedings,199
icmc,2008,inproceedings,187
hpcc,2020,inproceedings,184
siggraph,2001,inproceedings,184
siggraph,2022,inproceedings,182
naacl,2012,inproceedings,181
icwsm,2022,inproceedings,177
naacl,2013,inproceedings,173
icmc,1995,inproceedings,172
icmc,1999,inproceedings,160
icmc,2004,inproceedings,158
icis,2007,inproceedings,158
naacl,2007,inproceedings,157
icwsm,2016,inproceedings,152
hpcc,2008,inproceedings,151
icmc,1996,inproceedings,150
iscram,2015,inproceedings,148
icmc,1991,inproceedings,147
naacl,2005,inproceedings,146
icmc,2011,inproceedings,145
icmc,2006,inproceedings,144
hpcc,2011,inproceedings,143
icwsm,2021,inproceedings,143
naacl,2006,inproceedings,140
iscram,2012,inproceedings,140
issta,2023,inproceedings,138
icwsm,2011,inproceedings,137
iscram,2013,inproceedings,136
icmc,2000,inproceedings,136
bmsb,2020,inproceedings,136
icmc,1994,inproceedings,135
bmsb,2022,inproceedings,133
naacl,1989,inproceedings,132
naacl,2003,inproceedings,132
icmc,2010,inproceedings,131
icmc,2009,inproceedings,129
bmsb,2013,inproceedings,127
icmc,1990,inproceedings,124
hpcc,2005,inproceedings,123
icis,2006,inproceedings,123
bmsb,2018,inproceedings,123
naacl,1994,inproceedings,121
icwsm,2020,inproceedings,121
icmc,1993,inproceedings,118
bmsb,2021,inproceedings,118
icwsm,2017,inproceedings,118
iscram,2014,inproceedings,117
icmc,2002,inproceedings,117
bmsb,2017,inproceedings,117
naacl,2004,inproceedings,116
iscram,2019,inproceedings,116
icmc,2016,inproceedings,116
bmsb,2019,inproceedings,116
icmc,2012,inproceedings,114
icmc,1997,inproceedings,113
bmsb,2014,inproceedings,113
iscram,2010,inproceedings,112
bmsb,2016,inproceedings,112
icwsm,2012,inproceedings,110
iscram,2016,inproceedings,109
icmc,2001,inproceedings,109
icmc,1998,inproceedings,109
iscram,2018,inproceedings,108
icwsm,2023,inproceedings,108
naacl,1992,inproceedings,107
naacl,1991,inproceedings,106
naacl,2001,inproceedings,106
iscram,2011,inproceedings,106
iscram,2020,inproceedings,105
interaccion,2014,inproceedings,104
naacl,1993,inproceedings,104
naacl,1990,inproceedings,103
intcompsymp,2020,inproceedings,103
bmsb,2012,inproceedings,101
